CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.05.02.02;Dividendo Mínimo Obrigatório a Pagar;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.05.02.03;Obrigações por Pagamentos Baseados em Ações;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.05.02.03;Obrigações por Pagamentos Baseados em Ações;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.05.02.04;Instrumentos financeiros derivativos;88015.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.05.02.04;Instrumentos financeiros derivativos;56785.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.05.02.05;Adiantamentos de clientes;27075.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.05.02.05;Adiantamentos de clientes;19772.0000000000;N
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.06;Provisões;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.06;Provisões;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.06.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.06.01;Provisões Fiscais Previdenciárias Trabalhistas e Cíveis;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.06.01.01;Provisões Fiscais;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.06.01.01;Provisões Fiscais;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.06.01.02;Provisões Previdenciárias e Trabalhistas;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.06.01.02;Provisões Previdenciárias e Trabalhistas;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.06.01.03;Provisões para Benefícios a Empregados;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.06.01.03;Provisões para Benefícios a Empregados;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.01.06.01.04;Provisões Cíveis;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Individual - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.01.06.01.04;Provisões Cíveis;0.0000000000;S
