CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-02-28;1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-02-28;1.01.02.02;Aplicações Financeiras Avaliadas a Valor Justo através de Outros Resultados Abrangentes;0.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-02-28;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-02-28;1.01.02.03;Aplicações Financeiras Avaliadas ao Custo Amortizado;0.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-02-28;1.01.03;Contas a Receber;960982.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-02-28;1.01.03;Contas a Receber;691379.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-02-28;1.01.03.01;Clientes;960982.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-02-28;1.01.03.01;Clientes;691379.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-02-28;1.01.03.02;Outras Contas a Receber;0.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-02-28;1.01.03.02;Outras Contas a Receber;0.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-02-28;1.01.04;Estoques;1283738.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-02-28;1.01.04;Estoques;1269544.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-02-28;1.01.05;Ativos Biológicos;0.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-02-28;1.01.05;Ativos Biológicos;0.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-02-28;1.01.06;Tributos a Recuperar;83478.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-02-28;1.01.06;Tributos a Recuperar;82778.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-02-28;1.01.06.01;Tributos Correntes a Recuperar;83478.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-02-28;1.01.06.01;Tributos Correntes a Recuperar;82778.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-02-28;1.01.07;Despesas Antecipadas;0.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-02-28;1.01.07;Despesas Antecipadas;0.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-02-28;1.01.08;Outros Ativos Circulantes;33471.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-02-28;1.01.08;Outros Ativos Circulantes;48435.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-02-28;1.01.08.01;Ativos Não-Correntes a Venda;0.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-02-28;1.01.08.01;Ativos Não-Correntes a Venda;0.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-02-28;1.01.08.02;Ativos de Operações Descontinuadas;0.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-02-28;1.01.08.02;Ativos de Operações Descontinuadas;0.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-02-28;1.01.08.03;Outros;33471.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;ÚLTIMO;2025-02-28;1.01.08.03;Outros;48435.0000000000;S
64.904.295/0001-03;2025-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Balanço Patrimonial Ativo;REAL;MIL;PENÚLTIMO;2024-02-28;1.01.08.03.01;Instrumentos Financeiros Derivativos;0.0000000000;N
