CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.02.01.03;Financiamento por Arrendamento;1230657.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.02.01.03;Financiamento por Arrendamento;1392141.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.02.02;Outras Obrigações;93039.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.02.02;Outras Obrigações;227517.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.02.02.01;Passivos com Partes Relacionadas;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.02.02.01;Passivos com Partes Relacionadas;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.02.02.01.01;Débitos com Coligadas;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.02.02.01.01;Débitos com Coligadas;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;PENÚLTIMO;2024-03-31;2.02.02.01.03;Débitos com Controladores;0.0000000000;S
02.635.522/0001-95;2025-03-31;1;JALLES MACHADO S.A.;025496;DF Consolidado - Balanço Patrimonial Passivo;REAL;MIL;ÚLTIMO;2025-03-31;2.02.02.01.03;Débitos com Controladores;0.0000000000;S
