CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.06;Resultado Financeiro;49123.0000000000;S
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;3.06;Resultado Financeiro;53548.0000000000;S
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.06.01;Receitas Financeiras;53422.0000000000;S
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;3.06.01;Receitas Financeiras;65785.0000000000;S
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.06.02;Despesas Financeiras;-4299.0000000000;S
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;3.06.02;Despesas Financeiras;-12237.0000000000;S
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.06.02.01;Variação cambial liquida;-47.0000000000;N
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;3.06.02.01;Variação cambial liquida;-124.0000000000;N
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;PENÚLTIMO;2023-04-01;2024-03-31;3.06.02.02;Despesas financeiras;-4252.0000000000;N
06.981.381/0001-13;2025-03-31;1;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;023981;DF Consolidado - Demonstração do Resultado;REAL;MIL;ÚLTIMO;2024-04-01;2025-03-31;3.06.02.02;Despesas financeiras;-12113.0000000000;N
